nombre_entidad;tipo
Payway SAU;BILLETERA
PERc SA;BILLETERA
Pesepe Pagos SA;BILLETERA
Philidor SA;BILLETERA
Plus Billetera S.A.;BILLETERA
POTENCIA TU DINERO S.A.;BILLETERA
POTENCIAR FINANZAS S.A.;BILLETERA
POWDER S.A.;BILLETERA
PP SERVICIOS DE PAGOS S.A.;BILLETERA
PREX CARD SAS;BILLETERA
PRO SIMPLE S.A.;BILLETERA
Processing Data Argentina S.A.;BILLETERA
PROPAGO ARGENTINA SRL;BILLETERA
Proserf S.A.;BILLETERA
PYME FUND S.R.L.;BILLETERA
QWERTY SA;BILLETERA
RED GLOBAL MONETARIA SA;BILLETERA
REMITEE S.A.;BILLETERA
RESIMPLE SA;BILLETERA
RM S.A.S.;BILLETERA
RUAJ BH S.A.;BILLETERA
S.G. FINANCIAL TECHNOLOGY S.A.;BILLETERA
SECUREPAYNET SAS;BILLETERA
SERVICIO DE PAGO SAU;BILLETERA
Servicios de Pagos SA;BILLETERA
SERVICIOS DEL INTERIOR SRL;BILLETERA
SERVICIOS URBANOS SA;BILLETERA
SIDOM PAY S. A.;BILLETERA
SIMPLE PAYMENTS SAS;BILLETERA
Sistema de Pagos Costa Atlántica S.A.;BILLETERA
Soluciones de Pago S.A.;BILLETERA
SOS GENIAL S.A.S;BILLETERA
Sowepay S.A.;BILLETERA
Stark Solution SRL;BILLETERA
STOCKHOLDER SA;BILLETERA
Supefina Argentina S.A.;BILLETERA
SUPRESTAMO SAS;BILLETERA
SUR FINANZAS PSP S.A.;BILLETERA
SUSTENTA PAGOS S.A.;BILLETERA
SYSWORLD DIGITAL S.A.;BILLETERA
TAP BILLETERA S.A.U.;BILLETERA
Tapago SA;BILLETERA
TDK Labs SAS;BILLETERA
TEAMSYS SRL;BILLETERA
TELEPAGOS S.A.;BILLETERA
The Angelus SA;BILLETERA
TOTAL PAY S.A.;BILLETERA
TRASE S.A.;BILLETERA
TrustFin Technology SAS;BILLETERA
TUTELAR SERVICIOS FINANCIEROS S.A;BILLETERA
